GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projectPOO2,TP2,Mala,61,222,17,11,13,53,17,14,5,12
projectPOO2,TP2,EncomendaExistenteException,0,4,0,0,0,2,0,1,0,1
projectPOO2,TP2,Padrao,0,34,0,0,0,4,0,1,0,1
projectPOO2,TP2,Artigo,4,433,3,27,2,113,3,47,0,35
projectPOO2,TP2,Dimensao,0,34,0,0,0,4,0,1,0,1
projectPOO2,TP2,Gestor_Utilizadores,221,435,3,27,33,79,21,40,19,27
projectPOO2,TP2,ArtigoExistenteException,0,4,0,0,0,2,0,1,0,1
projectPOO2,TP2,Sapatilha,73,262,16,16,18,56,20,15,6,13
projectPOO2,TP2,TransportadoraNaoEncontradaException,0,4,0,0,0,2,0,1,0,1
projectPOO2,TP2,Utilizador,805,432,67,9,150,103,75,31,37,31
projectPOO2,TP2,Tshirt,31,113,9,7,7,27,9,10,2,9
projectPOO2,TP2,Gestor_Artigos,128,1149,26,130,19,193,20,102,1,43
projectPOO2,TP2,Parsing,750,0,64,0,139,0,42,0,10,0
projectPOO2,TP2,EncomendaDevolucaoImpossivelException,0,4,0,0,0,2,0,1,0,1
projectPOO2,TP2,Vintage,1449,499,55,3,315,74,108,14,79,14
projectPOO2,TP2,Transportadora,202,301,48,2,53,79,40,21,15,21
projectPOO2,TP2,CarrinhoVazioException,0,4,0,0,0,2,0,1,0,1
projectPOO2,TP2,Menu,1839,398,78,2,620,120,107,25,67,25
projectPOO2,TP2,Encomenda,8,422,2,36,1,104,2,49,0,32
projectPOO2,TP2,ArtigoNaoEncontradoException,0,4,0,0,0,2,0,1,0,1
projectPOO2,TP2,Controlador,1529,85,158,2,440,33,124,10,18,10
projectPOO2,TP2,EncomendaNaoEncontradaException,0,4,0,0,0,2,0,1,0,1
projectPOO2,TP2,ComparatorVendas,0,23,0,4,0,6,0,4,0,2
projectPOO2,TP2,Tamanho,0,44,0,0,0,5,0,1,0,1
projectPOO2,TP2,Main,0,18,0,0,0,6,0,2,0,2
projectPOO2,TP2,Gestor_Transportadoras,16,508,3,43,2,88,3,41,0,21
projectPOO2,TP2,Fatura,0,367,0,26,0,90,0,40,0,27
projectPOO2,TP2,GestorEncomendas,0,462,0,34,0,73,0,36,0,19
projectPOO2,TP2,Estado,0,34,0,0,0,4,0,1,0,1
