GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projectPOO2,TP2,Mala,59,223,16,12,11,55,15,16,4,13
projectPOO2,TP2,EncomendaExistenteException,4,0,0,0,2,0,1,0,1,0
projectPOO2,TP2,Padrao,0,34,0,0,0,4,0,1,0,1
projectPOO2,TP2,Artigo,136,301,22,8,38,77,30,20,16,19
projectPOO2,TP2,Dimensao,0,34,0,0,0,4,0,1,0,1
projectPOO2,TP2,Gestor_Utilizadores,659,0,30,0,106,0,61,0,46,0
projectPOO2,TP2,ArtigoExistenteException,4,0,0,0,2,0,1,0,1,0
projectPOO2,TP2,Sapatilha,91,243,23,9,18,58,20,15,5,14
projectPOO2,TP2,TransportadoraNaoEncontradaException,4,0,0,0,2,0,1,0,1,0
projectPOO2,TP2,Utilizador,939,290,68,8,188,63,81,25,46,22
projectPOO2,TP2,Tshirt,18,126,9,7,2,32,7,12,0,11
projectPOO2,TP2,Gestor_Artigos,1258,0,156,0,191,0,122,0,44,0
projectPOO2,TP2,Parsing,726,0,64,0,147,0,42,0,10,0
projectPOO2,TP2,EncomendaDevolucaoImpossivelException,4,0,0,0,2,0,1,0,1,0
projectPOO2,TP2,Vintage,1957,0,58,0,378,0,122,0,93,0
projectPOO2,TP2,Transportadora,167,336,28,22,47,85,38,23,13,23
projectPOO2,TP2,CarrinhoVazioException,4,0,0,0,2,0,1,0,1,0
projectPOO2,TP2,Menu,2236,0,80,0,699,0,132,0,92,0
projectPOO2,TP2,Encomenda,79,348,14,24,21,86,21,30,8,24
projectPOO2,TP2,ArtigoNaoEncontradoException,4,0,0,0,2,0,1,0,1,0
projectPOO2,TP2,Controlador,1604,0,160,0,471,0,134,0,28,0
projectPOO2,TP2,EncomendaNaoEncontradaException,4,0,0,0,2,0,1,0,1,0
projectPOO2,TP2,ComparatorVendas,23,0,4,0,6,0,4,0,2,0
projectPOO2,TP2,Tamanho,0,44,0,0,0,5,0,1,0,1
projectPOO2,TP2,Main,18,0,0,0,6,0,2,0,2,0
projectPOO2,TP2,Gestor_Transportadoras,519,0,46,0,88,0,44,0,21,0
projectPOO2,TP2,Fatura,100,267,20,6,26,64,22,18,9,18
projectPOO2,TP2,GestorEncomendas,222,230,20,14,29,42,20,16,6,13
projectPOO2,TP2,Estado,0,34,0,0,0,4,0,1,0,1
